id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
13,Which instrument measures the strength of electric current?,Anemometer,Ammeter,Barometer,Calorimeter,B,An ammeter is used to measure the strength of electric current.,Science,IMG_6518.jpg
14,What does an anemometer measure?,Atmospheric pressure,Quantity of heat,Force and velocity of the wind,Electric current,C,An anemometer measures the force and velocity of the wind.,Science,IMG_6518.jpg
15,Which instrument measures atmospheric pressure?,Calorimeter,Barometer,Cardiogram,Dynamometer,B,A barometer measures atmospheric pressure.,Science,IMG_6518.jpg
16,What does a crescograph measure?,The quantity of heat,The growth of plants,The movements of the heart,Electrical power,B,A crescograph measures the growth of plants.,Science,IMG_6518.jpg
17,Which instrument measures the quantity of heat?,Cardiogram,Calorimeter,Dynamometer,Endoscope,B,A calorimeter measures the quantity of heat.,Science,IMG_6518.jpg
18,What does a cardiogram trace?,Electrical power,Internal parts of the body,Movements of the heart,Depth of the ocean,C,A cardiogram traces the movements of the heart.,Science,IMG_6518.jpg
19,Which instrument measures electrical power?,Dynamometer,Dynamo,Endoscope,Electroscope,A,A dynamometer measures electrical power.,Science,IMG_6518.jpg
20,What does a dynamo convert?,Electrical energy into mechanical energy,Mechanical energy into electrical energy,Heat into light,Light into heat,B,A dynamo converts mechanical energy into electrical energy.,Science,IMG_6518.jpg
21,What does an endoscope examine?,Atmospheric pressure,Internal parts of the body,Electric charge,Depth of the ocean,B,An endoscope examines internal parts of the body.,Science,IMG_6518.jpg
22,Which instrument detects the presence of an electric charge?,Fathometer,Electroscope,Galvanometer,Hydrometer,B,An electroscope detects the presence of an electric charge.,Science,IMG_6518.jpg
23,What is a fathometer used for?,Measuring humidity,Measuring the depth of the ocean,Measuring the pressure of gases,Measuring electric current,B,A fathometer is used for measuring the depth of the ocean.,Science,IMG_6518.jpg
24,Which instrument measures the electric current of low magnitude?,Hydrometer,Hygrometer,Galvanometer,Manometer,C,A galvanometer measures the electric current of low magnitude.,Science,IMG_6518.jpg
25,What does a hydrometer measure?,Humidity in the air,Pressure of gases,Specific gravity of liquids,Atmospheric pressure,C,A hydrometer measures the specific gravity of liquids.,Science,IMG_6518.jpg
26,Which instrument measures humidity in the air?,Manometer,Hygrometer,Hydrometer,Galvanometer,B,A hygrometer measures humidity in the air.,Science,IMG_6518.jpg
27,What does a manometer measure?,Humidity in the air,Specific gravity of liquids,Pressure of gases,Electric current,C,A manometer measures the pressure of gases.,Science,IMG_6518.jpg
28,What is the chemical name for baking soda?,Sodium chloride,Sodium bicarbonate,Calcium carbonate,Calcium oxide,B,The chemical name for baking soda is sodium bicarbonate.,Chemistry,IMG_6518.jpg
29,What is the chemical name for Galena?,Lead sulphide,Sodium bicarbonate,Nitrous oxide,Calcium oxide,A,The chemical name for Galena is Lead sulphide.,Chemistry,IMG_6518.jpg
30,What is the common name for Nitrous oxide?,Lime,Laughing gas,Quick silver,Limestone,B,Nitrous oxide is commonly known as laughing gas.,Chemistry,IMG_6518.jpg
31,What is the chemical name for Lime?,Calcium carbonate,Calcium oxide,Sodium chloride,Sodium bicarbonate,B,The chemical name for Lime is Calcium oxide.,Chemistry,IMG_6518.jpg
32,What is the chemical name for Limestone?,Calcium oxide,Calcium carbonate,Sodium chloride,Lead sulphide,B,The chemical name for Limestone is Calcium carbonate.,Chemistry,IMG_6518.jpg
33,What is the common name for Mercury?,Common salt,Quick silver,Lime,Limestone,B,Mercury is commonly known as quick silver.,Chemistry,IMG_6518.jpg
34,What is the chemical name for Common salt?,Sodium bicarbonate,Sodium chloride,Calcium carbonate,Calcium oxide,B,The chemical name for Common salt is Sodium chloride.,Chemistry,IMG_6518.jpg
35,What happens when an electric current passes through a conductor?,The conductor becomes cold,The conductor becomes hot,The conductor disappears,The conductor shrinks,B,"When an electric current passes through a conductor, it becomes hot after some time and produces heat.",Science,IMG_6512.jpg
36,What is an electromagnet?,A permanent magnet,A temporary magnet,A type of battery,A type of wire,B,An electromagnet is a temporary magnet made by winding wire around an iron core.,Science,IMG_6512.jpg
37,What happens to an electromagnet when the current is turned off?,It becomes stronger,It loses its magnetic properties,It reverses polarity,It explodes,B,"When the current is turned off in an electromagnet, it loses its magnetic properties.",Science,IMG_6512.jpg
38,What is heat transfer?,The process of cooling down,The process in which molecules are moved from a region of higher temperature to lower temperature,The process of creating energy,The process of freezing,B,Heat transfer is the process in which molecules are moved from a region of higher temperature to lower temperature.,Science,IMG_6512.jpg
39,What is conduction?,Heat transfer through fluids,Heat transfer through empty space,Heat transfer from a hotter part to a colder part in a body without involving any actual movement of the molecules of the body,Heat transfer through radiation,C,Conduction is the process in which heat is transferred from the hotter part to the colder part in a body without involving any actual movement of the molecules of the body.,Science,IMG_6512.jpg
40,What is convection?,Heat transfer through solids,Heat transfer through a vacuum,Heat transfer from one part of a fluid to another part by the actual movement of the particles of the fluid,Heat transfer through direct contact,C,Convection is the process of heat transfer from one part of a fluid to another part by the actual movement of the particles of the fluid.,Science,IMG_6512.jpg
41,Which of the following is heated by convection?,Solids,Liquids and gases,Vacuum,Metals,B,Liquids and gases are heated by the process of convection.,Science,IMG_6512.jpg
42,What is radiation?,Heat transfer through direct contact,Heat transfer through fluids,Heat transfer from one place to another without heating the intervening medium,Heat transfer through solids,C,Radiation is the process of the transfer of heat from one place to another without heating the intervening medium.,Science,IMG_6512.jpg
43,How does heat from the sun reach the earth?,Conduction,Convection,Radiation,Evaporation,C,Heat from the sun reaches the earth through radiation.,Science,IMG_6512.jpg
44,What is reflection of light?,When light passes through an object,When a ray of light approaches a smooth polished surface and the light ray bounces back,When light is absorbed by an object,When light bends around an object,B,Reflection of light is when a ray of light approaches a smooth polished surface and the light ray bounces back.,Science,IMG_6512.jpg
45,What is the ray that bounces back after hitting a surface called?,Incident ray,Refracted ray,Reflected ray,Diffracted ray,C,The ray that bounces back is called the reflected ray.,Science,IMG_6512.jpg
46,Which of the following is a classical dance form from Tamil Nadu?,Kathak,Bharatanatyam,Kathakali,Kuchipudi,B,Bharatanatyam is a classical dance form that originated in Tamil Nadu.,Dance,IMG_6525.jpg
47,In which state is the classical dance Kathakali performed?,Tamil Nadu,Andhra Pradesh,Kerala,Odisha,C,Kathakali is a classical dance form from Kerala.,Dance,IMG_6525.jpg
48,Kuchipudi is a classical dance that originates from which state?,Kerala,Andhra Pradesh,Manipur,Assam,B,Kuchipudi is a classical dance form from Andhra Pradesh.,Dance,IMG_6525.jpg
49,Which state is known for the classical dance form Manipuri?,Kerala,Odisha,Manipur,Assam,C,Manipuri is a classical dance form from Manipur.,Dance,IMG_6525.jpg
50,Mohiniyattam is a classical dance form associated with which state?,Tamil Nadu,Kerala,Odisha,Assam,B,Mohiniyattam is a classical dance form from Kerala.,Dance,IMG_6525.jpg
51,The classical dance Odissi is primarily performed in which state?,Kerala,Manipur,Odisha,Andhra Pradesh,C,Odissi is a classical dance form from Odisha.,Dance,IMG_6525.jpg
52,Sattriya is a classical dance form originating from which state?,Odisha,Assam,Manipur,Kerala,B,Sattriya is a classical dance form from Assam.,Dance,IMG_6525.jpg
53,Kathak is a classical dance form primarily from which region of India?,South India,North India,East India,West India,B,Kathak is a classical dance form from North India.,Dance,IMG_6525.jpg
54,Who is the current Chief of Defence Staff?,General Upendra Dwivedi,Air Chief Marshal AP Singh,General Anil Chauhan,Admiral Dinesh K Tripathi,C,General Anil Chauhan is the current Chief of Defence Staff.,Civics,IMG_6525.jpg
55,Who is the current Chief of the Army Staff?,General Anil Chauhan,General Upendra Dwivedi,Air Chief Marshal AP Singh,Admiral Dinesh K Tripathi,B,General Upendra Dwivedi is the current Chief of the Army Staff.,Civics,IMG_6525.jpg
56,Who is the current Chief of the Air Staff?,General Anil Chauhan,General Upendra Dwivedi,Air Chief Marshal AP Singh,Admiral Dinesh K Tripathi,C,Air Chief Marshal AP Singh is the current Chief of the Air Staff.,Civics,IMG_6525.jpg
57,Who is the current Chief of the Naval Staff?,General Anil Chauhan,General Upendra Dwivedi,Air Chief Marshal AP Singh,Admiral Dinesh K Tripathi,D,Admiral Dinesh K Tripathi is the current Chief of the Naval Staff.,Civics,IMG_6525.jpg
58,Who is the current Chief Justice of India?,General Anil Chauhan,Justice Sanjiv Khanna,Air Chief Marshal AP Singh,Admiral Dinesh K Tripathi,B,Justice Sanjiv Khanna is the current Chief Justice of India.,Civics,IMG_6525.jpg
59,Which of the following is NOT mentioned as a commonly known tribe in India?,Gonds,Santhal,Angami,Tamil,D,"Gonds, Santhal, and Angami are mentioned as commonly known tribes in India. Tamil is not mentioned in the list.",Social Studies,IMG_6525.jpg
60,Which film won the Best Picture award at the 2025 Academy Awards?,Emilia Perez,Whispers of Time,Brazil (I'm Still Here),None of the above,B,Whispers of Time won the Best Picture award at the 2025 Academy Awards.,General Knowledge,IMG_6532.jpg
61,Which country was the first to approve the commercial use of lab-grown meat?,United States,China,Singapore,Brazil,C,Singapore was the first country to approve the commercial use of lab-grown meat.,General Knowledge,IMG_6532.jpg
62,What was the name of the first artificial satellite launched into space?,Explorer 1,Sputnik 1,Apollo 11,Voyager 1,B,Sputnik 1 was the first artificial satellite launched into space.,General Knowledge,IMG_6532.jpg
63,Which city hosted the 2025 World Economic Forum annual meeting?,New York,London,Davos,Paris,C,Davos hosted the 2025 World Economic Forum annual meeting.,General Knowledge,IMG_6532.jpg
64,"Which satellite is known for capturing detailed images of deep space, including galaxies and nebulae?",Landsat,Hubble Space Telescope,GOES,GPS,B,The Hubble Space Telescope is known for capturing detailed images of deep space.,General Knowledge,IMG_6532.jpg
65,Who assassinated Abraham Lincoln?,Lee Harvey Oswald,John Wilkes Booth,James A. Garfield,William McKinley,B,John Wilkes Booth assassinated Abraham Lincoln.,General Knowledge,IMG_6532.jpg
66,What is the scientific name for the Northern Lights?,Aurora Australis,Aurora Borealis,Milky Way,Solar Flare,B,The scientific name for the Northern Lights is Aurora Borealis.,General Knowledge,IMG_6532.jpg
67,Which country hosted the ICC Champions Trophy 2025?,India,Australia,Pakistan,England,C,Pakistan hosted the ICC Champions Trophy 2025.,General Knowledge,IMG_6532.jpg
68,Which country won the Oscar for Best International Feature Film?,France,Italy,Brazil,Germany,C,Brazil (I'm Still Here) won the Oscar for Best International Feature Film.,General Knowledge,IMG_6532.jpg
69,Which film received the most nominations at the 2025 Oscars?,Whispers of Time,Brazil (I'm Still Here),Emilia Perez,None of the above,C,Emilia Perez received the most nominations at the 2025 Oscars.,General Knowledge,IMG_6532.jpg
70,Approximately how many elements are there in the periodic table?,92,100,118,150,C,There are approximately 118 elements in the periodic table.,General Knowledge,IMG_6532.jpg
71,Which ancient civilization built the Machu Picchu complex in Peru?,Aztec,Inca,Maya,Egyptian,B,The Inca civilization built the Machu Picchu complex in Peru.,General Knowledge,IMG_6532.jpg
72,The ancient city of Rome was built on how many hills?,Three,Five,Seven,Nine,C,The ancient city of Rome was built on seven hills.,General Knowledge,IMG_6532.jpg
73,What was the name of the ancient Kerala kingdom known for its powerful navy and maritime trade?,Chola Kingdom,Chera Kingdom,Pandya Kingdom,Vijayanagara Empire,B,The ancient Kerala kingdom known for its powerful navy and maritime trade was the Chera Kingdom.,General Knowledge,IMG_6532.jpg
74,Who was the first woman to fly solo across the Atlantic Ocean?,Bessie Coleman,Amelia Earhart,Harriet Quimby,Jacqueline Cochran,B,Amelia Earhart was the first woman to fly solo across the Atlantic Ocean.,General Knowledge,IMG_6532.jpg
75,Which river is referred to as the 'Sorrow of Bihar' due to its frequent flooding?,Ganges River,Yamuna River,Kosi River,Brahmaputra River,C,The Kosi River is referred to as the 'Sorrow of Bihar' due to its frequent flooding.,General Knowledge,IMG_6532.jpg
76,Which of the following is the main function of the kidneys?,Pumping blood,Filtering waste from the blood,Digesting food,Controlling body temperature,B,The kidneys filter extra water and eliminate potentially dangerous pollutants from the blood.,Science,IMG_6506.jpg
77,Kidneys are a part of which system?,Digestive system,Respiratory system,Excretory system,Nervous system,C,The kidneys are an essential component of the excretory system.,Science,IMG_6506.jpg
78,What shape are the kidneys?,Round,Square,Bean-shaped,Triangular,C,The kidneys are bean-shaped structures.,Science,IMG_6506.jpg
79,Where are the kidneys located in the body?,In the chest,On either side of the backbone,In the stomach,In the head,B,The kidneys are found on either side of the backbone.,Science,IMG_6506.jpg
80,Which of the following protects the kidneys?,The heart,The lungs,The ribs and back muscles,The brain,C,The kidneys are protected by the ribs and back muscles.,Science,IMG_6506.jpg
81,What hormone do the kidneys generate that controls blood pressure?,Insulin,Renin,Adrenaline,Thyroxine,B,"The kidneys generate renin, a hormone that controls blood pressure.",Science,IMG_6506.jpg
82,What is a 'system of organs'?,A single organ performing multiple functions,A group of cells working together,A group of organs working together to perform one or more functions,A collection of tissues in the body,C,A system of organs is a group of organs that work together to perform one or more functions in the body.,Science,IMG_6506.jpg
83,"Which system provides mechanical support, posture, and locomotion?",Respiratory system,Nervous system,Musculoskeletal system,Digestive system,C,"The musculoskeletal system provides mechanical support, posture, and locomotion.",Science,IMG_6506.jpg
84,Which system is responsible for the exchange of oxygen and carbon dioxide?,Digestive system,Respiratory system,Urinary system,Nervous system,B,The respiratory system is responsible for the exchange of oxygen and carbon dioxide between the body and air.,Science,IMG_6506.jpg
85,"Which system initiates and regulates vital body functions, sensation, and body movements?",Digestive system,Respiratory system,Nervous system,Urinary system,C,"The nervous system initiates and regulates vital body functions, sensation, and body movements.",Science,IMG_6506.jpg
86,Which system is responsible for the mechanical and chemical degradation of food?,Respiratory system,Digestive system,Urinary system,Nervous system,B,The digestive system is responsible for the mechanical and chemical degradation of food.,Science,IMG_6506.jpg
87,Which system filters blood and eliminates unnecessary compounds and waste?,Digestive system,Respiratory system,Urinary system,Nervous system,C,The urinary system filters blood and eliminates unnecessary compounds and waste.,Science,IMG_6506.jpg
88,Which system is responsible for the production of reproductive cells?,Digestive system,Respiratory system,Reproductive system,Nervous system,C,The reproductive system is responsible for the production of reproductive cells.,Science,IMG_6506.jpg
89,Which of the following is considered one of the newest coding languages?,C++,Java,Swift,Malbolge,C,Swift is listed as one of the newest coding languages.,Computer,IMG_6540.jpg
90,Which of these languages is considered one of the toughest to learn for coding?,Python,Malbolge,JavaScript,HTML,B,Malbolge is listed as one of the toughest languages to learn for coding.,Computer,IMG_6540.jpg
91,Which of the following is NOT listed as one of the most used programming languages by coders?,JavaScript,HTML/CSS,Python,Reason,D,Reason is not listed as one of the most used programming languages by coders.,Computer,IMG_6540.jpg
92,What is the main function of a chatbot?,To design websites,To simulate human conversation,To create video games,To manage databases,B,Chatbots are computer programs that simulate human conversation.,Computer,IMG_6540.jpg
93,"What does NLP, as used in the context of chatbots, stand for?",New Language Protocol,Natural Language Processing,Network Learning Program,Neural Linguistic Programming,B,NLP stands for Natural Language Processing.,Computer,IMG_6540.jpg
94,What does ChatGPT stand for?,Chat Graphics Pre-Trained Transformer,Chat Generative Pre-Trained Transformer,Computer Graphics Processing Technology,Creative General Purpose Tool,B,ChatGPT stands for Chat Generative Pre-Trained Transformer.,Computer,IMG_6540.jpg
95,Which company developed ChatGPT?,Microsoft,Google,Open AI,Apple,C,ChatGPT was developed by Open AI.,Computer,IMG_6540.jpg
96,What type of technology is ChatGPT?,Operating System,Artificial Intelligence (AI) chatbot,Database Management System,Web Browser,B,ChatGPT is an artificial intelligence (AI) chatbot technology.,Computer,IMG_6540.jpg
97,In what year did Open AI release ChatGPT as a free research preview?,2015,2019,2021,2022,D,Open AI released ChatGPT as a free research preview in November 2022.,Computer,IMG_6540.jpg
98,Who is the CEO of Open AI?,Bill Gates,Sam Altman,Elon Musk,Mark Zuckerberg,B,Sam Altman is the CEO of Open AI.,Computer,IMG_6540.jpg
99,Who is the author of 'ഖസാക്കിന്റെ ഇതിഹാസം' (Khasakkinte Ithihasam)?,ടി ഡി രാമകൃഷ്ണൻ (T. D. Ramakrishnan),ആനന്ദ് (Anand),ഒ വി വിജയൻ (O. V. Vijayan),ബെന്യാമിൻ (Benyamin),C,ഒ വി വിജയൻ (O. V. Vijayan) is the author of 'ഖസാക്കിന്റെ ഇതിഹാസം' (Khasakkinte Ithihasam).,Malayalam Literature,IMG_6498.jpg
100,Which of the following books is written by ആനന്ദ് (Anand)?,ഖസാക്കിന്റെ ഇതിഹാസം (Khasakkinte Ithihasam),മരണ സർട്ടിഫിക്കറ്റ് (Marana Certificate),ചോരശാസ്ത്രം (Chora Sasthram),രണ്ടാമൂഴം (Randamoozham),B,ആനന്ദ് (Anand) is the author of 'മരണ സർട്ടിഫിക്കറ്റ്' (Marana Certificate).,Malayalam Literature,IMG_6498.jpg
101,Who wrote the book 'ഒരു സങ്കീർത്തനം പോലെ' (Oru Sankeerthanam Pole)?,എം ടി വാസുദേവൻ നായർ (M. T. Vasudevan Nair),പെരുമ്പടവം ശ്രീധരൻ (Perumbadavam Sreedharan),എം മുകുന്ദൻ (M. Mukundan),സാറാ ജോസഫ് (Sara Joseph),B,പെരുമ്പടവം ശ്രീധരൻ (Perumbadavam Sreedharan) wrote the book 'ഒരു സങ്കീർത്തനം പോലെ' (Oru Sankeerthanam Pole).,Malayalam Literature,IMG_6498.jpg
102,Which of the following is an example of a സാമൂഹിക നാടകം (Social Drama)?,മറിയാമ്മ (Mariyamma),പാട്ടബാക്കി (Pattabakki),സംഗീതനൈഷധം (Sangeetha Naishadham),സീതാലക്ഷ്മി (Seethalakshmi),A,മറിയാമ്മ (Mariyamma) is an example of a സാമൂഹിക നാടകം (Social Drama).,Malayalam Literature,IMG_6498.jpg
103,What type of drama is 'സംഗീതനൈഷധം' (Sangeetha Naishadham)?,രാഷ്ട്രീയ നാടകം (Political Drama),സംഗീത നാടകം (Musical Drama),ചരിത്ര നാടകം (Historical Drama),പ്രശ്ന നാടകം (Problem Drama),B,'സംഗീതനൈഷധം' (Sangeetha Naishadham) is a സംഗീത നാടകം (Musical Drama).,Malayalam Literature,IMG_6498.jpg
104,Which literary work is related to the movie 'ഉദകപ്പോള' (Udakappola)?,തൂവാനത്തുമ്പികൾ (Thoovanathumbikal),വിധേയൻ (Vidheyan),നിർമ്മാല്യം (Nirmalyam),ഭാർഗവീനിലയം (Bhargaveenilayam),A,The movie 'ഉദകപ്പോള' (Udakappola) is related to the literary work 'തൂവാനത്തുമ്പികൾ' (Thoovanathumbikal).,Malayalam Literature,IMG_6498.jpg
105,Which movie is based on the literary work 'ഭാസ്കരപട്ടേലരും എന്റെ ജീവിതവും' (Bhaskarapattelarum Ente Jeevithavum)?,തൂവാനത്തുമ്പികൾ (Thoovanathumbikal),വിധേയൻ (Vidheyan),നിർമ്മാല്യം (Nirmalyam),ഭാർഗവീനിലയം (Bhargaveenilayam),B,The movie 'വിധേയൻ' (Vidheyan) is based on the literary work 'ഭാസ്കരപട്ടേലരും എന്റെ ജീവിതവും' (Bhaskarapattelarum Ente Jeevithavum).,Malayalam Literature,IMG_6498.jpg
106,Which movie is based on the literary work 'നീലവെളിച്ചം' (Neelavelicham)?,തൂവാനത്തുമ്പികൾ (Thoovanathumbikal),വിധേയൻ (Vidheyan),നിർമ്മാല്യം (Nirmalyam),ഭാർഗവീനിലയം (Bhargaveenilayam),D,The movie 'ഭാർഗവീനിലയം' (Bhargaveenilayam) is based on the literary work 'നീലവെളിച്ചം' (Neelavelicham).,Malayalam Literature,IMG_6498.jpg
107,Which Indian physicist won the Nobel Prize in Physics in 1930 for his work on the scattering of light?,Homi J. Bhabha,C.V. Raman,Satyendra Nath Bose,Vikram Sarabhai,B,"C.V. Raman was awarded the Nobel Prize in Physics in 1930 for his work on the scattering of light, known as the Raman effect.",Science,IMG_6533.jpg
108,"The Chipko Movement, a forest conservation movement, originated in which Indian state?",Kerala,Uttarakhand,Karnataka,Tamil Nadu,B,"The Chipko Movement, where people embraced trees to prevent them from being cut, originated in Uttarakhand.",Civics,IMG_6533.jpg
109,Which Mughal emperor commissioned the construction of the Peacock Throne?,Akbar,Shah Jahan,Aurangzeb,Jahangir,B,Shah Jahan commissioned the construction of the Peacock Throne.,History,IMG_6533.jpg
110,The Indian state of Gujarat is known for which unique landscape?,Thar Desert,Rann of Kutch,Sundarbans,Deccan Plateau,B,"Gujarat is renowned for the Rann of Kutch, the largest salt desert in the world.",Geography,IMG_6533.jpg
111,Which Indian film director was honored with an honorary Oscar for lifetime achievement?,Bimal Roy,Satyajit Ray,Guru Dutt,Raj Kapoor,B,Satyajit Ray was honored with an honorary Oscar for lifetime achievement.,General Knowledge,IMG_6533.jpg
112,Which country launched the first satellite to orbit the moon?,United States,Soviet Union,China,United Kingdom,B,The Soviet Union launched the first satellite to orbit the moon.,Science,IMG_6533.jpg
113,How many gold medals did Michael Phelps win at the 2008 Beijing Olympics?,Six,Seven,Eight,Nine,C,Michael Phelps won eight gold medals at the 2008 Beijing Olympics.,Sports,IMG_6533.jpg
114,What was the name of the treaty signed in 1215 between King John of England and his barons?,Treaty of Versailles,Magna Carta,Declaration of Independence,Bill of Rights,B,The treaty signed in 1215 between King John of England and his barons was the Magna Carta.,History,IMG_6533.jpg
115,Which ancient Greek historian wrote 'The Histories'?,Plato,Aristotle,Herodotus,Socrates,C,"Herodotus wrote 'The Histories', a book that chronicled the Greco-Persian Wars.",History,IMG_6533.jpg
116,Which Chinese dynasty ruled from 1271 to 1368 and was founded by Kublai Khan?,Ming Dynasty,Tang Dynasty,Yuan Dynasty,Qin Dynasty,C,The Yuan Dynasty ruled from 1271 to 1368 and was founded by Kublai Khan.,History,IMG_6533.jpg
117,"What is the term for the process by which the universe became transparent to light, occurring around 380,000 years after the Big Bang?",Inflation,Recombination era,Dark Ages,Big Crunch,B,The process by which the universe became transparent to light is called the Recombination era.,Science,IMG_6533.jpg
118,Which scientist developed the theory of continental drift?,Isaac Newton,Albert Einstein,Alfred Wegener,Charles Darwin,C,Alfred Wegener developed the theory of continental drift.,Science,IMG_6533.jpg
119,"According to the Guinness World Records, what is the name of the largest living structure on Earth?",Amazon Rainforest,Great Barrier Reef,Sequoia National Forest,Boreal Forest,B,"The Great Barrier Reef is the largest living structure on Earth, according to the Guinness World Records.",Geography,IMG_6533.jpg
120,What is the name of the strait that separates the continents of Asia and Africa?,Strait of Gibraltar,Strait of Hormuz,Bab-el-Mandeb,Bosporus Strait,C,The Bab-el-Mandeb strait separates the continents of Asia and Africa.,Geography,IMG_6533.jpg
121,What does 'Kera' mean in the name Kerala?,Land,Coconut tree,Water,Mountains,B,"'Kera' means coconut tree, which is why Kerala is known as the land of coconut trees.",Geography,IMG_6519.jpg
122,Kerala is known as the land of what?,Spices,Rivers,Coconut trees,Mountains,C,Kerala is named after the vast coconut plantations and is therefore known as the land of coconut trees.,Geography,IMG_6519.jpg
123,In which month does Kerala typically receive the first rainfall?,May,June,July,August,B,Kerala receives the first spell of rain in the first week of June.,Geography,IMG_6519.jpg
124,Which state is the largest producer of rubber in India?,Tamil Nadu,Karnataka,Kerala,Andhra Pradesh,C,Kerala is the largest producer of rubber in India.,Geography,IMG_6519.jpg
125,Approximately what percentage of India's total rubber production comes from Kerala?,50%,70%,90%,95%,C,Kerala produces more than 90% of the total rubber produced in the country.,Geography,IMG_6519.jpg
126,In which year did Kerala become the first digital state in India?,2010,2016,2018,2020,B,Kerala became the first digital state in the country in 2016.,Geography,IMG_6519.jpg
127,Which former President conferred the title of 'first digital state' upon Kerala?,A.P.J. Abdul Kalam,Pratibha Patil,Ram Nath Kovind,Pranab Mukherjee,D,"The then President, Pranab Mukherjee, conferred the state with this title.",Geography,IMG_6519.jpg
128,What is the approximate internet connectivity in Kerala?,50%,65%,75%,85%,C,Kerala has the largest telecom literacy rate in India with full mobile connectivity and about 75% internet connectivity.,Geography,IMG_6519.jpg
129,The Western Ghats in Kerala are home to how many of the world's hottest biodiversity hotspots?,Two,Four,Six,Eight,D,Kerala is blessed with the Western Ghats which are home to one of the eight hottest hotspots in the world.,Geography,IMG_6519.jpg
130,"What is the name of the highest peak in the Western Ghats, also known as the 'Everest of South India'?",Doddabetta,Anamudi Peak,Kalsubai,Mullayanagiri,B,Anamudi Peak of the Anaimalai range is named the 'Everest of SouthIndia'.,Geography,IMG_6519.jpg
131,What is the height of Anamudi Peak?,"7,234 feet","8,133 feet","9,022 feet","10,001 feet",B,The peak reaches an incredible height of 8133 feet.,Geography,IMG_6519.jpg
132,Which districts share borders with Anamudi Peak?,Kollam and Alappuzha,Ernakulam and Idukki,Kottayam and Pathanamthitta,Thrissur and Palakkad,B,It shares its borders with Ernakulam and Idukki districts.,Geography,IMG_6519.jpg
133,Where is the Nilambur Teak Plantation located?,Thiruvananthapuram,Malappuram,Kottayam,Idukki,B,It is located in Malappuram.,Geography,IMG_6519.jpg
134,Who established the Nilambur Teak Plantation?,H.V. Conolly,Anju Bobby George,Pranab Mukherjee,WHO,A,This plantation was established during the mid-19th century by H.V. Conolly- the collector of Malabar District.,Geography,IMG_6519.jpg
135,Which of the following is true about Kerala?,It is the first space-friendly state in the world.,It is the first baby-friendly state in the world.,It is the first eco-friendly state in the world.,It is the first animal-friendly state in the world.,B,Kerala is the first baby-friendly state in the world.,Geography,IMG_6519.jpg
136,Which organizations sponsored the Baby Friendly Initiative that was adopted in Kerala?,UNESCO and UNICEF,WHO and UNESCO,WHO and UNICEF,UN and WHO,C,The Baby Friendly Initiative sponsored by the WHO and UNICEF was adopted in Kerala by 1993.,Geography,IMG_6519.jpg
137,Who was the first Malayali woman gold medalist in world Athletic Championship?,P.T. Usha,Anju Bobby George,Shiny Wilson,K.M. Beenamol,B,Anju Bobby George of Kerala was the first Malayali woman gold medalist in world Athletic Championship,Geography,IMG_6519.jpg
138,The term 'acid' is derived from a Latin word meaning:,Sweet,Sour,Salty,Bitter,B,"The Latin words 'acidus' or 'acere', from which 'acid' is derived, mean 'sour'.",Science,IMG_6507.jpg
